dataset_id,dataset_string,dataset_title,doi,journal,title,Used dataset?
dataset-427,Grants data,FedREPORTER,10.1080/00036846.2019.1624914,Applied Economics,Can patent family size and composition signal patent value?,No
dataset-427,Grants data,FedREPORTER,10.1038/s41598-019-40728-x,Scientific Reports,Possible links between the lag structure in visual cortex and visual streams using fMRI,No
dataset-427,Grants data,FedREPORTER,10.1186/s12992-018-0425-y,Globalization and Health,"Trade, investment and public health: compiling the evidence, assembling the arguments",No
dataset-427,Grants data,FedREPORTER,10.1186/s41469-019-0054-9,Journal of Organization Design,Extending the role of headquarters beyond the firm boundary: entrepreneurial alliance innovation,No
dataset-427,Grants data,FedREPORTER,10.1016/j.evalprogplan.2019.101710,Evaluation and Program Planning,"Using Database Linkages to Measure Innovation, Commercialization, and Survival of Small Businesses",Yes
dataset-427,Grants data,FedREPORTER,10.1038/s41598-019-48186-1,Scientific Reports,Targeted sequencing of linkage region in Dominican families implicates PRIMA1 and the SPATA7-PTPN21-ZC3H14-EML5-TTC8 locus in carotid-intima media thickness and atherosclerotic events,No
dataset-427,Grants data,FedREPORTER,10.1016/j.econedurev.2019.101913,Economics of Education Review,Primary Education Expansion and Quality of Schooling,No
dataset-427,Grants data,FedREPORTER,10.1186/s12937-019-0454-2,Nutrition Journal,Validity and reliability of a food frequency questionnaire for assessing dietary intake among Shanghai residents,No
dataset-427,Grants data,FedREPORTER,10.1186/s12913-019-4494-2,BMC Health Services Research,EQUIP Emergency: study protocol for an organizational intervention to promote equity in health care,No
dataset-427,Grants data,FedREPORTER,10.1080/15230406.2018.1544932,Cartography and Geographic Information Science,An empirical test of household identification risk in geomasked maps,No
dataset-427,Grants data,FedREPORTER,10.1016/j.econmod.2019.08.015,Economic Modelling,Barriers to the international diffusion of technological innovations,No
dataset-427,Grants data,FedREPORTER,10.1111/rurd.12103,Review of Urban and Regional Development Studies,EFFECTS OF FEDERAL CONSTITUTIONAL GRANTS IN BRAZILIAN MUNICIPALITIES,No
dataset-427,Grants data,FedREPORTER,10.18553/jmcp.2019.25.11.1218,Journal of Managed Care & Specialty Pharmacy,"Treatment Patterns with Disease-Modifying Antirheumatic Drugs in U.S. Veterans with Newly Diagnosed Rheumatoid Arthritis, Psoriatic Arthritis, or Ankylosing Spondylitis.",No
dataset-427,Grants data,FedREPORTER,10.1016/j.eurpolymj.2019.109232,European Polymer Journal,Survey on transport properties of vapours and liquids on biodegradable polymers,No
dataset-427,Grants data,FedREPORTER,10.1016/j.matdes.2019.108023,Materials & Design,"Development of a robust, self-cleaning, amphiphobic, and electrically conductive coating on a flexible polymer substrate",No
dataset-427,Grants data,FedREPORTER,10.1007/s10488-019-00977-4,Administration and Policy in Mental Health and Mental Health Services Research,Evaluation of the Implementation Research Institute: Trainees’ Publications and Grant Productivity,Yes
dataset-427,Federal RePORTER,FedREPORTER,10.1186/s13756-019-0550-2,Antimicrobial Resistance & Infection Control,"Control of MSSA and MRSA in the United States: protocols, policies, risk adjustment and excuses",Yes
dataset-427,Federal RePORTER,FedREPORTER,10.1377/hlthaff.2019.00476,Health Affairs,Federal Funding For Research On The Leading Causes Of Death Among Children And Adolescents,Yes
dataset-427,Federal RePORTER,FedREPORTER,10.5860/crln.31.5.162,College & Research Libraries News,News from the Sections,No
dataset-427,Federal RePORTER,FedREPORTER,10.26633/rpsp.2019.68,BULL PAN AM HEALTH ORGAN,Training opportunities for noncommunicable diseases research in Latin America: A scoping review,Yes
dataset-427,Federal RePORTER,FedREPORTER,10.1515/jetl-2019-0108,Journal of European Tort Law,The Law and Economics of Tort Liability for Human Rights Violations in Global Supply Chains,Yes
dataset-427,Federal RePORTER,FedREPORTER,10.3390/su11154120,Sustainability,National Scientific Funding for Interdisciplinary Research: A Comparison Study of Infectious Diseases in the US and EU,Yes
dataset-427,Federal RePORTER,FedREPORTER,10.1016/j.respol.2019.03.001,Research Policy,Federal funding of doctoral recipients: What can be learned from linked data,Yes
dataset-427,Federal RePORTER,FedREPORTER,10.1089/glr2.2019.2362,Gaming Law Review,"KONAMI GAMING INC. v. HIGH 5 GAMES, LLC Case No. 2018-1723; 756 Fed. Appx. 994 (Mem) (Fed. Cir. Mar. 11, 2019)",No
dataset-427,Federal RePORTER,FedREPORTER,10.1111/maps.13300,Meteoritics and Planetary Science,"Geophysical characterization of the Daskop granophyre dyke and surrounding host rocks, Vredefort impact structure, South Africa",No
dataset-427,Federal RePORTER,FedREPORTER,10.1007/s10461-018-2305-0,AIDS and Behavior,A Review of Approaches Used to Increase Awareness of Pre-exposure Prophylaxis (PrEP) in the United States,Yes
dataset-427,Federal RePORTER,FedREPORTER,10.1080/00908320.2019.1617927,Ocean Development & International Law,The Doctrine of Constructive Presence and the Arctic Sunrise Award (2015): The Emergence of the “Scheme Theory”,No
dataset-427,Federal RePORTER,FedREPORTER,10.1515/jetl-2019-0101,Journal of European Tort Law,Post-Mortal Protection of the Right to Reputation – A Comparative View,No
dataset-427,Federal RePORTER,FedREPORTER,10.1515/jetl-2019-0103,Journal of European Tort Law,Punitive Damages: Reorienting the Debate in Civil Law Systems,No
dataset-427,Federal RePORTER,FedREPORTER,10.1053/j.gastro.2018.12.045,Gastroenterology,The role of the microbiome in immunologic development and its implication for pancreatic cancer immunotherapy,Yes
dataset-427,Federal RePORTER,FedREPORTER,10.1016/j.respol.2018.10.027,Research Policy,The relation between research priorities and societal demands: The case of rice,Yes
dataset-427,Federal RePORTER,FedREPORTER,10.1007/s10551-017-3581-8,Journal of Business Ethics,Tone-at-the-Top Lessons from Abrahamic Justice,No
