dataset,doi,journal,search_term,title
dataset-207,10.1007/s10964-019-01156-2,Journal of Youth and Adolescence,National Center for Education Statistics Data,Creating Supportive Contexts for Early Adolescents during the First Year of Middle School: Impact of a Developmentally Responsive Multi-Component Intervention
dataset-207,10.1111/josh.12828,Journal of School Health,National Center for Education Statistics Data,Updated Nutrition Standards for School Meals Associated With Improved Weight Outcomes for Boys in Elementary School
dataset-207,10.15585/mmwr.mm6840a4,MMWR Morbidity and Mortality Weekly Report,National Center for Education Statistics Data,"Notes from the Field: Environmental Contamination from E-cigarette, Cigarette, Cigar, and Cannabis Products at 12 High Schools — San Francisco Bay Area, 2018–2019"
dataset-207,10.1002/9781119261407.ch16,,National Center for Education Statistics Data,Adults with Low Skills and Learning Disabilities
dataset-207,10.1037/cdp0000250,"{'id': 'jour.1023243', 'title': 'Cultural Diversity & Ethnic Minority Psychology'}",National Center for Education Statistics Data,Cultural revitalization as a restorative process to combat racial and cultural trauma and promote living well.
dataset-207,10.1002/whe.20761,"{'id': 'jour.1131561', 'title': 'Women in Higher Education'}",National Center for Education Statistics Data,NEWSWATCH: Gendered Politics at Work and Play
dataset-207,10.1080/15363759.2018.1534621,"{'id': 'jour.1140824', 'title': 'Christian Higher Education'}",National Center for Education Statistics Data,Faculty Motivations and Perceptions of Service-Learning in Christian Higher Education
dataset-207,10.1177/0022427819829794,"{'id': 'jour.1002388', 'title': 'Journal of Research in Crime and Delinquency'}",National Center for Education Statistics Data,The Intergenerational Stability of Punishment: Paternal Incarceration and Suspension or Expulsion in Elementary School
dataset-207,10.1111/josh.12790,"{'id': 'jour.1017851', 'title': 'Journal of School Health'}",National Center for Education Statistics Data,Training High School Student “Citizen Scientists” to Document School Water Access: A Feasibility Study
dataset-207,10.1111/1467-923x.12689,"{'id': 'jour.1026839', 'title': 'The Political Quarterly'}",National Center for Education Statistics Data,Skunks in an English Woodland: Should England Embrace For‐Profit Higher Education?
dataset-207,10.1377/hlthaff.2018.05472,"{'id': 'jour.1093948', 'title': 'Health Affairs'}",National Center for Education Statistics Data,Twenty Years Of School-Based Health Care Growth And Expansion
dataset-207,10.1007/s11233-018-09010-z,"{'id': 'jour.1139819', 'title': 'Tertiary Education and Management'}",National Center for Education Statistics Data,"Premeditated, dismissed and disenchanted: higher education dropouts in Poland"
dataset-207,10.1007/s40615-018-0515-9,"{'id': 'jour.1049838', 'title': 'Journal of Racial and Ethnic Health Disparities'}",National Center for Education Statistics Data,A Health Professions Pipeline for Underrepresented Students: Middle and High School Initiatives
dataset-207,10.15585/mmwr.mm6803a1,"{'id': 'jour.1016693', 'title': 'MMWR Morbidity and Mortality Weekly Report'}",National Center for Education Statistics Data,"Characteristics of School-Associated Youth Homicides — United States, 1994–2018"
dataset-207,10.1007/978-3-030-26372-0,,National Center for Education Statistics Data,"Education in Out-of-Home Care, International Perspectives on Policy, Practice and Research"
dataset-207,10.2139/ssrn.3480528,"{'id': 'jour.1276748', 'title': 'SSRN Electronic Journal'}",National Center for Education Statistics Data,Does Pollution Drive Achievement? The Effect of Traffic Pollution on Academic Performance
dataset-207,10.1007/978-3-030-26372-0_3,,National Center for Education Statistics Data,Fostering Success in Education: Educational Outcomes of Students in Foster Care in the United States
dataset-207,10.1080/07418825.2018.1524509,"{'id': 'jour.1041807', 'title': 'Justice Quarterly'}",National Center for Education Statistics Data,"Not “That Kind of Cop”: Exploring How Officers Adapt Approaches, Attitudes, and Self-concepts in School Settings"
dataset-207,10.1002/nsr.30414,"{'id': 'jour.1142963', 'title': 'Recruiting & Retaining Adult Learners'}",National Center for Education Statistics Data,Follow best practices to recruit transfer students
dataset-207,10.1177/0192513x18806025,"{'id': 'jour.1091259', 'title': 'Journal of Family Issues'}",National Center for Education Statistics Data,Who Cares? Motivations for Unregulated Child Care Use
